PM Report,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Name: pfe     Start Time: 27-Oct-2019 00:15:00     End Time: 28-Oct-2019 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM Report,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
suspect,Date/Time,PM Source,Type,Current (mA) Minimum,Current (mA) Maximum,Current (mA) Average,Voltage (V) Minimum,Voltage (V) Maximum,Voltage (V) Average,PFE Return Current (mA) Minimum,PFE Return Current (mA) Maximum,PFE Return Current (mA) Average,PFE Station Ground Current (mA) Minimum,PFE Station Ground Current (mA) Maximum,PFE Station Ground Current (mA) Average,PFE Ocean Ground Voltage (V) Minimum,PFE Ocean Ground Voltage (V) Maximum,PFE Ocean Ground Voltage (V) Average,PFE Ocean Ground RES1 (mA) Minimum,PFE Ocean Ground RES1 (mA) Maximum,PFE Ocean Ground RES1 (mA) Average,PFE Ocean Ground RES2 (mA) Minimum,PFE Ocean Ground RES2 (mA) Maximum,PFE Ocean Ground RES2 (mA) Average,Converter Temperature (C) Minimum,Converter Temperature (C) Maximum,Converter Temperature (C) Average
,27/10/2019 0:30,T3.AAAA.PFE 1.Converter2,G3,999,1000,999,1294,1295,1294,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,34,36,34
,27/10/2019 0:30,T4.UUUU.PFE 1,G4,998,1000,999,5223,5225,5223,998,1000,999,0,2,0,31,52,42,976,977,976,0,0,0,NO DATA,NO DATA,NO DATA
,27/10/2019 0:30,T4.UUUU.PFE 1.Converter1,G4,998,1000,998,1759,1761,1760,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,42,44,43
,27/10/2019 0:30,T4.UUUU.PFE 1.Converter2,G4,997,999,998,1722,1724,1723,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,42,45,43
,27/10/2019 0:30,T4.UUUU.PFE 1.Converter3,G4,997,999,997,1795,1796,1795,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,42,45,43
,27/10/2019 0:30,T5.HHHH.PFE 1,G4,1000,1000,1000,5098,5099,5098,999,1000,999,0,1,0,11,12,11,992,993,992,0,0,0,NO DATA,NO DATA,NO DATA
,27/10/2019 0:30,T5.HHHH.PFE 1.Converter1,G4,1000,1000,1000,1001,1002,1001,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,42,45,43
,27/10/2019 0:30,T5.HHHH.PFE 1.Converter2,G4,999,1000,999,1090,1091,1090,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,43,46,44
,27/10/2019 0:30,T5.HHHH.PFE 1.Converter3,G4,999,1000,999,1067,1068,1067,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,42,44,43
,27/10/2019 0:30,T5.HHHH.PFE 1.Converter4,G4,999,1000,999,1006,1007,1006,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,43,45,43
,27/10/2019 0:30,T5.HHHH.PFE 1.Converter5,G4,999,1000,999,1002,1003,1002,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,42,45,44
,27/10/2019 0:45,B1.TTTT.PFE 1,G3,999,1001,999,483,485,484,996,1002,999,NO DATA,NO DATA,1,NO DATA,NO DATA,12,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
,27/10/2019 0:45,B1.TTTT.PFE 1.Converter1,G3,999,1000,999,270,271,270,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,29,30,29
,27/10/2019 0:45,B1.TTTT.PFE 1.Converter2,G3,999,1001,1000,266,267,266,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,37,39,37
,27/10/2019 0:45,T2.NNNN.PFE 1,G4,1000,1001,1000,5113,5114,5113,1000,1001,1000,0,1,0,12,12,12,991,992,991,0,0,0,NO DATA,NO DATA,NO DATA
,27/10/2019 0:45,T2.NNNN.PFE 1.Converter1,G4,999,1000,999,1040,1043,1041,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,42,45,43
,27/10/2019 0:45,T2.NNNN.PFE 1.Converter2,G4,999,1000,999,1051,1052,1051,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,42,44,42
,27/10/2019 0:45,T2.NNNN.PFE 1.Converter3,G4,1000,1001,1000,1023,1025,1023,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,42,44,43
,27/10/2019 0:45,T2.NNNN.PFE 1.Converter4,G4,1000,1001,1000,999,1000,999,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,43,44,43
,27/10/2019 0:45,T2.NNNN.PFE 1.Converter5,G4,999,1000,999,1071,1074,1072,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,42,43,42
,27/10/2019 0:45,T3.AAAA.PFE 1,G3,999,1001,999,2504,2506,2505,993,1005,998,NO DATA,NO DATA,1,NO DATA,NO DATA,13,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
,27/10/2019 0:45,T3.AAAA.PFE 1.Converter1,G3,999,1000,999,1261,1262,1261,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,38,40,39
,27/10/2019 0:45,T3.AAAA.PFE 1.Converter2,G3,999,1000,999,1294,1295,1294,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,34,36,34
,27/10/2019 0:45,T4.UUUU.PFE 1,G4,998,1000,999,5221,5223,5222,998,1000,999,0,2,1,31,53,42,976,977,976,0,0,0,NO DATA,NO DATA,NO DATA
,27/10/2019 0:45,T4.UUUU.PFE 1.Converter1,G4,998,1000,998,1758,1761,1759,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,42,44,43
,27/10/2019 0:45,T4.UUUU.PFE 1.Converter2,G4,997,1000,998,1721,1724,1723,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,42,45,43
,27/10/2019 0:45,T4.UUUU.PFE 1.Converter3,G4,996,999,997,1794,1796,1794,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,42,45,43
,27/10/2019 0:45,T5.HHHH.PFE 1,G4,1000,1000,1000,5098,5099,5098,1000,1000,1000,0,1,0,11,12,11,992,993,992,0,0,0,NO DATA,NO DATA,NO DATA
,27/10/2019 0:45,T5.HHHH.PFE 1.Converter1,G4,1000,1000,1000,1001,1002,1001,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,42,45,43
,27/10/2019 0:45,T5.HHHH.PFE 1.Converter2,G4,999,1000,999,1090,1091,1090,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,45,47,45
,27/10/2019 0:45,T5.HHHH.PFE 1.Converter3,G4,999,1000,999,1067,1068,1067,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,43,46,44
,27/10/2019 0:45,T5.HHHH.PFE 1.Converter4,G4,999,1000,999,1006,1008,1007,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,44,46,44
,27/10/2019 0:45,T5.HHHH.PFE 1.Converter5,G4,999,1000,999,1002,1004,1002,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,45,47,45
,27/10/2019 1:00,B1.TTTT.PFE 1,G3,999,1001,999,483,485,484,996,1002,999,NO DATA,NO DATA,1,NO DATA,NO DATA,12,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
,27/10/2019 1:00,B1.TTTT.PFE 1.Converter1,G3,999,1000,999,270,271,270,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,29,30,29
,27/10/2019 1:00,B1.TTTT.PFE 1.Converter2,G3,999,1001,1000,266,267,266,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,37,39,37
,27/10/2019 1:00,T2.NNNN.PFE 1,G4,1000,1001,1000,5112,5113,5112,1000,1001,1000,0,1,0,12,13,12,990,992,991,0,0,0,NO DATA,NO DATA,NO DATA
,27/10/2019 1:00,T2.NNNN.PFE 1.Converter1,G4,999,1000,999,1040,1043,1041,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,42,45,43
,27/10/2019 1:00,T2.NNNN.PFE 1.Converter2,G4,999,1000,999,1051,1053,1051,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,42,44,42
,27/10/2019 1:00,T2.NNNN.PFE 1.Converter3,G4,1000,1000,1000,1023,1024,1023,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,42,44,43
,27/10/2019 1:00,T2.NNNN.PFE 1.Converter4,G4,1000,1001,1000,999,1000,999,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,42,44,43
,27/10/2019 1:00,T2.NNNN.PFE 1.Converter5,G4,999,1000,999,1071,1074,1071,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,42,43,42
,27/10/2019 1:00,T3.AAAA.PFE 1,G3,999,1001,999,2504,2506,2504,993,1005,998,NO DATA,NO DATA,1,NO DATA,NO DATA,13,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
,27/10/2019 1:00,T3.AAAA.PFE 1.Converter1,G3,999,1001,999,1260,1262,1261,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,38,40,38
,27/10/2019 1:00,T3.AAAA.PFE 1.Converter2,G3,999,1000,999,1294,1295,1294,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,34,36,34
,27/10/2019 1:00,T4.UUUU.PFE 1,G4,998,1000,999,5220,5223,5221,998,1000,999,0,2,1,31,53,42,976,978,976,0,0,0,NO DATA,NO DATA,NO DATA
,27/10/2019 1:00,T4.UUUU.PFE 1.Converter1,G4,998,999,998,1759,1761,1759,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,42,44,43
,27/10/2019 1:00,T4.UUUU.PFE 1.Converter2,G4,998,999,998,1721,1724,1722,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,42,44,43
,27/10/2019 1:00,T4.UUUU.PFE 1.Converter3,G4,997,999,997,1793,1796,1794,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,42,45,43
,27/10/2019 1:00,T5.HHHH.PFE 1,G4,1000,1000,1000,5098,5100,5098,1000,1000,1000,0,1,0,11,12,11,992,993,992,0,0,0,NO DATA,NO DATA,NO DATA
,27/10/2019 1:00,T5.HHHH.PFE 1.Converter1,G4,1000,1000,1000,1000,1002,1001,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,43,44,43
,27/10/2019 1:00,T5.HHHH.PFE 1.Converter2,G4,999,1000,999,1090,1091,1090,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,45,47,45
,27/10/2019 1:00,T5.HHHH.PFE 1.Converter3,G4,999,1000,999,1067,1068,1067,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,44,46,44
,27/10/2019 1:00,T5.HHHH.PFE 1.Converter4,G4,999,1000,999,1006,1008,1006,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,44,46,44
